Primary_Language,Secondary_Language,Lang_3,Lang_4,Lang_5,Lang_6,framework,Best_fit_Job
Java,Python,Kotlin,,,,None,Mobile App Developer (Android)
Python,C#,,,,,None,Cybersecurity Analyst
JavaScript,C#,,Kotlin,C/C++,,React,Mobile App Developer (Android)
Java,Python,,HTML/CSS,,PHP,React,Mobile App Developer (Android)
C/C++,C#,,,HTML/CSS,,None,Game Developer
Java,SQL,HTML/CSS,,,C#,React,Mobile App Developer (Android)
Java,Kotlin,,,SQL,HTML/CSS,None,Mobile App Developer (Android)
C#,C/C++,,Swift,,JavaScript,None,Mobile App Developer (iOS)
C/C++,HTML/CSS,,,,PHP,None,Game Developer
C/C++,HTML/CSS,,,PHP,,None,Game Developer
Java,Python,,C/C++,SQL,,React,Mobile App Developer (Android)
Python,HTML/CSS,,Kotlin,Swift,,None,Mobile App Developer (iOS)
C#,,Swift,,Kotlin,JavaScript,None,Mobile App Developer (iOS)
Python,HTML/CSS,,C/C++,,,None,Cybersecurity Analyst
C#,HTML/CSS,,,,,None,Game Developer
Python,PHP,SQL,,,,None,Database Administrator
C/C++,Java,,,SQL,JavaScript,None,Database Administrator
Java,,HTML/CSS,,,,None,Mobile App Developer (Android)
C#,HTML/CSS,Java,SQL,,,None,Database Administrator
C#,PHP,,,,,None,Game Developer
Java,Swift,,,,,None,Mobile App Developer (iOS)
C/C++,Swift,Python,,,Java,None,Mobile App Developer (iOS)
C#,HTML/CSS,,PHP,,,None,Game Developer
C/C++,,C#,,Swift,,None,Mobile App Developer (iOS)
Python,Java,C/C++,,,Kotlin,React,Mobile App Developer (Android)
C#,C/C++,,,JavaScript,,None,Game Developer
C#,,,Java,,,None,Game Developer
Python,PHP,,,,,None,Cybersecurity Analyst
JavaScript,Java,Kotlin,,,SQL,React,Mobile App Developer (Android)
C#,Java,,,,,None,Game Developer
C/C++,PHP,HTML/CSS,,Kotlin,Swift,None,Mobile App Developer (iOS)
C/C++,Kotlin,Python,PHP,SQL,HTML/CSS,None,Mobile App Developer (Android)
C/C++,Kotlin,,,,,None,Mobile App Developer (Android)
Java,Swift,Python,,,,None,Mobile App Developer (iOS)
JavaScript,HTML/CSS,SQL,,,PHP,None,Database Administrator
JavaScript,C#,,Kotlin,,,None,Mobile App Developer (Android)
C#,Swift,Java,SQL,JavaScript,,React,Mobile App Developer (iOS)
Java,HTML/CSS,,Python,C/C++,PHP,React,Mobile App Developer (Android)
JavaScript,Swift,,,Python,,None,Mobile App Developer (iOS)
Python,Java,,,,,None,Cybersecurity Analyst
C/C++,PHP,Kotlin,C#,JavaScript,,None,Mobile App Developer (Android)
C/C++,Python,Java,,,,None,Game Developer
Python,Kotlin,,,,,React,Mobile App Developer (Android)
Python,SQL,JavaScript,Swift,C/C++,C#,React,Mobile App Developer (iOS)
C/C++,Python,,,,,None,Game Developer
C/C++,,,JavaScript,,Swift,None,Mobile App Developer (iOS)
Python,C#,SQL,PHP,,,None,Database Administrator
C/C++,SQL,HTML/CSS,,,,None,Database Administrator
Python,Java,SQL,,HTML/CSS,C#,None,Database Administrator
Java,Swift,Kotlin,,C#,HTML/CSS,React,Mobile App Developer (iOS)
C#,Python,,Swift,JavaScript,Kotlin,React,Mobile App Developer (iOS)
JavaScript,,Python,,C#,,None,Front-End Developer
Java,C#,PHP,,,Swift,React,Mobile App Developer (iOS)
JavaScript,Kotlin,C#,,,C/C++,None,Mobile App Developer (Android)
C#,,,,JavaScript,C/C++,None,Game Developer
JavaScript,Kotlin,,SQL,,,None,Mobile App Developer (Android)
C/C++,Swift,SQL,,,Kotlin,None,Mobile App Developer (iOS)
JavaScript,Java,HTML/CSS,,,Python,None,Front-End Developer
C/C++,Kotlin,,,,,React,Mobile App Developer (Android)
C#,HTML/CSS,Java,,,,None,Game Developer
JavaScript,PHP,SQL,HTML/CSS,C/C++,Kotlin,React,Mobile App Developer (Android)
JavaScript,Java,,,,HTML/CSS,React,Front-End Developer
Python,Kotlin,,HTML/CSS,,,None,Mobile App Developer (Android)
Python,Swift,,,,C#,None,Mobile App Developer (iOS)
Python,,,C/C++,Swift,,None,Mobile App Developer (iOS)
Java,Swift,,Kotlin,Python,,React,Mobile App Developer (iOS)
C/C++,Python,,C#,,SQL,None,Database Administrator
C#,Python,C/C++,,SQL,,None,Database Administrator
JavaScript,C#,,Java,C/C++,,React,Front-End Developer
Python,,,,,,None,Cybersecurity Analyst
Java,C/C++,,,,,None,Mobile App Developer (Android)
C#,C/C++,,,JavaScript,,None,Game Developer
C#,SQL,,,PHP,,None,Database Administrator
C#,Kotlin,,,Java,,React,Mobile App Developer (Android)
Python,,,,,C#,None,Cybersecurity Analyst
Java,JavaScript,,Python,,,None,Mobile App Developer (Android)
Python,SQL,,,,Swift,React,Mobile App Developer (iOS)
Java,C#,,C/C++,,,None,Mobile App Developer (Android)
Python,C#,,,,HTML/CSS,None,Cybersecurity Analyst
JavaScript,Python,C/C++,Kotlin,,SQL,None,Mobile App Developer (Android)
C/C++,,,,Java,,None,Game Developer
C#,Java,,SQL,,Kotlin,None,Mobile App Developer (Android)
Python,HTML/CSS,Swift,,,,None,Mobile App Developer (iOS)
Java,Python,HTML/CSS,,,,None,Mobile App Developer (Android)
JavaScript,C/C++,PHP,,,Python,React,Front-End Developer
Java,C/C++,Python,C#,,PHP,None,Mobile App Developer (Android)
Java,C#,,Python,,,None,Mobile App Developer (Android)
C#,PHP,,,Java,,None,Game Developer
Java,HTML/CSS,,Kotlin,C/C++,,None,Mobile App Developer (Android)
Java,PHP,Swift,JavaScript,,C#,React,Mobile App Developer (iOS)
JavaScript,Java,,Python,HTML/CSS,C#,React,Front-End Developer
Java,C/C++,,,,SQL,None,Mobile App Developer (Android)
Python,C/C++,,Kotlin,,,None,Mobile App Developer (Android)
Python,C#,,Kotlin,,HTML/CSS,None,Mobile App Developer (Android)
C#,HTML/CSS,,,,JavaScript,None,Game Developer
C/C++,HTML/CSS,Python,PHP,,,None,Game Developer
C/C++,C#,,,,,None,Game Developer
C#,C/C++,Python,,,,None,Game Developer
Python,JavaScript,C#,,HTML/CSS,SQL,None,Database Administrator
JavaScript,PHP,,Swift,Java,,React,Mobile App Developer (iOS)
Python,C/C++,,JavaScript,HTML/CSS,,None,Cybersecurity Analyst
C/C++,Python,Swift,,HTML/CSS,,None,Mobile App Developer (iOS)
Java,SQL,Swift,,Python,,None,Mobile App Developer (iOS)
C/C++,,,,,,None,Game Developer
C/C++,Swift,C#,SQL,,,React,Mobile App Developer (iOS)
C/C++,PHP,,,,SQL,None,Database Administrator
Python,Kotlin,,,,C#,React,Mobile App Developer (Android)
JavaScript,SQL,,Swift,Python,PHP,None,Mobile App Developer (iOS)
C/C++,Python,,,,,None,Game Developer
Java,HTML/CSS,,,Python,,None,Mobile App Developer (Android)
C/C++,HTML/CSS,,Swift,SQL,,None,Mobile App Developer (iOS)
JavaScript,Java,,,Swift,,None,Mobile App Developer (iOS)
C#,Swift,,PHP,,,React,Mobile App Developer (iOS)
JavaScript,PHP,,,,,React,Front-End Developer
C/C++,C#,,,,,None,Game Developer
C#,Java,,,C/C++,,None,Game Developer
JavaScript,Kotlin,PHP,,Python,,React,Mobile App Developer (Android)
C#,,Swift,,,PHP,React,Mobile App Developer (iOS)
C/C++,HTML/CSS,Kotlin,,SQL,Python,React,Mobile App Developer (Android)
C#,HTML/CSS,,,,C/C++,None,Game Developer
C#,,,,,SQL,None,Database Administrator
Python,HTML/CSS,,,JavaScript,,None,Cybersecurity Analyst
Python,,Kotlin,,,,None,Mobile App Developer (Android)
JavaScript,Swift,HTML/CSS,,PHP,,React,Mobile App Developer (iOS)
C/C++,PHP,,Python,,,None,Game Developer
C/C++,SQL,,,Kotlin,,React,Mobile App Developer (Android)
C#,PHP,,,,JavaScript,None,Game Developer
C/C++,Swift,Python,,Java,,React,Mobile App Developer (iOS)
Python,JavaScript,,,Kotlin,C/C++,None,Mobile App Developer (Android)
C/C++,PHP,C#,JavaScript,Kotlin,SQL,None,Mobile App Developer (Android)
Python,C#,Java,HTML/CSS,Swift,,React,Mobile App Developer (iOS)
C/C++,SQL,,,,,None,Database Administrator
C#,HTML/CSS,PHP,Swift,,,None,Mobile App Developer (iOS)
Python,JavaScript,PHP,C/C++,Swift,Kotlin,None,Mobile App Developer (iOS)
Python,SQL,Swift,Java,,,None,Mobile App Developer (iOS)
Java,Python,,PHP,C#,,None,Mobile App Developer (Android)
C/C++,HTML/CSS,PHP,,Python,,None,Game Developer
C/C++,Swift,Kotlin,,PHP,,React,Mobile App Developer (iOS)
JavaScript,Java,,,SQL,,None,Database Administrator
Python,PHP,Swift,HTML/CSS,,C/C++,React,Mobile App Developer (iOS)
JavaScript,Java,,SQL,Kotlin,,None,Mobile App Developer (Android)
C/C++,HTML/CSS,,,,C#,None,Game Developer
C/C++,,,,,,None,Game Developer
C#,HTML/CSS,,Java,JavaScript,C/C++,None,Game Developer
Python,Swift,,,,C/C++,None,Mobile App Developer (iOS)
C#,Java,JavaScript,Kotlin,,,React,Mobile App Developer (Android)
C#,HTML/CSS,Swift,,Kotlin,PHP,None,Mobile App Developer (iOS)
Java,JavaScript,,,,SQL,None,Mobile App Developer (Android)
Python,Kotlin,,,,PHP,None,Mobile App Developer (Android)
C#,C/C++,SQL,Kotlin,Swift,JavaScript,None,Mobile App Developer (iOS)
C/C++,Swift,Kotlin,JavaScript,,,None,Mobile App Developer (iOS)
C#,Python,C/C++,SQL,,Java,None,Database Administrator
Python,HTML/CSS,Swift,JavaScript,,,None,Mobile App Developer (iOS)
C#,C/C++,,,,,None,Game Developer
C/C++,HTML/CSS,,,C#,Kotlin,None,Mobile App Developer (Android)
Java,Python,HTML/CSS,,,C/C++,None,Mobile App Developer (Android)
Python,,Kotlin,,,,React,Mobile App Developer (Android)
Python,Swift,,,C/C++,,None,Mobile App Developer (iOS)
C/C++,Kotlin,,Python,Java,HTML/CSS,None,Mobile App Developer (Android)
Java,SQL,Python,,,Swift,None,Mobile App Developer (iOS)
Python,SQL,,,,Kotlin,None,Mobile App Developer (Android)
Java,C/C++,,,,,React,Mobile App Developer (Android)
C/C++,Python,C#,,,JavaScript,None,Game Developer
Python,Java,,,,,None,Cybersecurity Analyst
Python,,,PHP,,HTML/CSS,None,Cybersecurity Analyst
JavaScript,Python,Java,,HTML/CSS,C#,None,Front-End Developer
JavaScript,Kotlin,HTML/CSS,Java,SQL,,React,Mobile App Developer (Android)
JavaScript,PHP,Swift,HTML/CSS,,,None,Mobile App Developer (iOS)
JavaScript,,,SQL,,C/C++,None,Database Administrator
C/C++,Python,JavaScript,,,,None,Game Developer
Java,C#,,,PHP,Python,None,Mobile App Developer (Android)
C#,Python,,,,,None,Game Developer
Java,Swift,,,C#,,None,Mobile App Developer (iOS)
Python,,,C#,,,None,Cybersecurity Analyst
C#,JavaScript,,,,,None,Game Developer
C/C++,JavaScript,Kotlin,Swift,HTML/CSS,,None,Mobile App Developer (iOS)
Java,JavaScript,,Python,Swift,C#,None,Mobile App Developer (iOS)
C/C++,C#,,,HTML/CSS,,None,Game Developer
JavaScript,C/C++,,,C#,Java,None,Front-End Developer
Java,JavaScript,,PHP,,,None,Mobile App Developer (Android)
Java,Kotlin,,,,,None,Mobile App Developer (Android)
C#,Kotlin,,,,JavaScript,None,Mobile App Developer (Android)
Python,HTML/CSS,,,,,None,Cybersecurity Analyst
C/C++,Python,,JavaScript,,,None,Game Developer
C/C++,SQL,,,,,None,Database Administrator
Python,,C#,,,,None,Cybersecurity Analyst
JavaScript,Python,Kotlin,Java,PHP,,None,Mobile App Developer (Android)
JavaScript,PHP,,SQL,,C#,None,Database Administrator
Python,Kotlin,Swift,,HTML/CSS,C#,None,Mobile App Developer (iOS)
C#,SQL,,,,,None,Database Administrator
C/C++,HTML/CSS,JavaScript,Java,,,None,Game Developer
C#,HTML/CSS,,SQL,,Java,None,Database Administrator
C/C++,JavaScript,Kotlin,,,PHP,React,Mobile App Developer (Android)
Python,PHP,,,Kotlin,Swift,None,Mobile App Developer (iOS)
Java,C/C++,JavaScript,HTML/CSS,Python,Kotlin,None,Mobile App Developer (Android)
C/C++,JavaScript,Kotlin,,,,None,Mobile App Developer (Android)
C/C++,HTML/CSS,,,Java,,None,Game Developer
Java,Kotlin,,,C#,,None,Mobile App Developer (Android)
C#,Swift,,PHP,,,None,Mobile App Developer (iOS)
Java,JavaScript,,,,HTML/CSS,None,Mobile App Developer (Android)
C/C++,Java,,,,,None,Game Developer
C#,Java,C/C++,Python,,JavaScript,None,Game Developer
Python,Java,SQL,,Swift,,React,Mobile App Developer (iOS)
JavaScript,C/C++,,Swift,,,None,Mobile App Developer (iOS)
C/C++,JavaScript,,SQL,,Java,None,Database Administrator
Python,SQL,C#,PHP,HTML/CSS,,None,Database Administrator
Python,JavaScript,C/C++,PHP,,Java,None,Cybersecurity Analyst
Java,,C#,,,,None,Mobile App Developer (Android)
C#,Kotlin,SQL,,JavaScript,,React,Mobile App Developer (Android)
JavaScript,Java,Kotlin,,,,React,Mobile App Developer (Android)
Java,Python,,,JavaScript,,None,Mobile App Developer (Android)
C#,Swift,C/C++,JavaScript,SQL,PHP,React,Mobile App Developer (iOS)
Python,,,,Swift,,React,Mobile App Developer (iOS)
C#,,Java,,,,None,Game Developer
Python,SQL,,,C#,,None,Database Administrator
Java,Kotlin,,,,,React,Mobile App Developer (Android)
C/C++,C#,,HTML/CSS,,,None,Game Developer
C/C++,JavaScript,HTML/CSS,,,PHP,None,Game Developer
C/C++,,Python,,,,None,Game Developer
Java,JavaScript,,PHP,,,React,Mobile App Developer (Android)
Python,Swift,Kotlin,,,JavaScript,React,Mobile App Developer (iOS)
Python,JavaScript,,C#,,,None,Cybersecurity Analyst
C#,Swift,,,Python,,React,Mobile App Developer (iOS)
Java,Swift,,,,,React,Mobile App Developer (iOS)
C#,Swift,,,,JavaScript,None,Mobile App Developer (iOS)
C#,Swift,,,Java,HTML/CSS,React,Mobile App Developer (iOS)
Python,C/C++,,Swift,Kotlin,SQL,None,Mobile App Developer (iOS)
JavaScript,PHP,,,,,React,Front-End Developer
JavaScript,C/C++,,,,,React,Front-End Developer
C#,Python,,Java,,Kotlin,React,Mobile App Developer (Android)
C/C++,,,,,HTML/CSS,None,Game Developer
JavaScript,HTML/CSS,,,,,React,Front-End Developer
JavaScript,C/C++,Kotlin,Swift,Java,,React,Mobile App Developer (iOS)
C#,Python,JavaScript,,,,None,Game Developer
C#,JavaScript,,Kotlin,C/C++,,None,Mobile App Developer (Android)
C#,HTML/CSS,,,,,None,Game Developer
Python,SQL,,,,C#,None,Database Administrator
Java,C#,Python,,JavaScript,C/C++,None,Mobile App Developer (Android)
JavaScript,Kotlin,,,,,None,Mobile App Developer (Android)
Java,Kotlin,,Swift,,SQL,None,Mobile App Developer (iOS)
C#,JavaScript,PHP,Java,,,None,Game Developer
C/C++,Swift,,,,,None,Mobile App Developer (iOS)
C/C++,Kotlin,Python,Java,,,React,Mobile App Developer (Android)
Python,C#,,SQL,Kotlin,Java,React,Mobile App Developer (Android)
Python,Kotlin,SQL,,,,React,Mobile App Developer (Android)
JavaScript,HTML/CSS,C/C++,PHP,Kotlin,,None,Mobile App Developer (Android)
C#,SQL,,,,,None,Database Administrator
C/C++,Kotlin,,,HTML/CSS,JavaScript,React,Mobile App Developer (Android)
Java,PHP,,,,SQL,None,Mobile App Developer (Android)
Java,C/C++,JavaScript,SQL,PHP,,None,Mobile App Developer (Android)
C#,PHP,,,,,None,Game Developer
C#,SQL,JavaScript,,Python,,None,Database Administrator
JavaScript,Swift,Java,C/C++,PHP,,React,Mobile App Developer (iOS)
C/C++,HTML/CSS,JavaScript,,PHP,Python,None,Game Developer
C#,JavaScript,,,Java,,None,Game Developer
JavaScript,PHP,,Java,,C#,None,Front-End Developer
Python,,,Swift,SQL,PHP,None,Mobile App Developer (iOS)
Python,SQL,Kotlin,C#,,,None,Mobile App Developer (Android)
Java,C#,,,PHP,,React,Mobile App Developer (Android)
JavaScript,HTML/CSS,Kotlin,,,Python,None,Mobile App Developer (Android)
C#,SQL,,Java,,Kotlin,None,Mobile App Developer (Android)
Java,PHP,,Swift,,,None,Mobile App Developer (iOS)
C/C++,,,SQL,,Java,None,Database Administrator
Java,,,SQL,,HTML/CSS,None,Mobile App Developer (Android)
JavaScript,HTML/CSS,,Java,SQL,,None,Database Administrator
JavaScript,C#,Python,Kotlin,HTML/CSS,,None,Mobile App Developer (Android)
Python,Kotlin,HTML/CSS,Swift,C#,JavaScript,None,Mobile App Developer (iOS)
JavaScript,Kotlin,PHP,C/C++,,,React,Mobile App Developer (Android)
JavaScript,SQL,PHP,,C/C++,,None,Database Administrator
JavaScript,Java,C#,,,,React,Front-End Developer
Java,PHP,,,,,None,Mobile App Developer (Android)
JavaScript,PHP,SQL,,,,None,Database Administrator
Python,Java,Swift,,,,None,Mobile App Developer (iOS)
C#,JavaScript,,,Python,,None,Game Developer
C#,Swift,,,,,None,Mobile App Developer (iOS)
Java,Kotlin,,,Python,C/C++,React,Mobile App Developer (Android)
C/C++,SQL,JavaScript,Kotlin,Java,,None,Mobile App Developer (Android)
JavaScript,,,,PHP,,None,Front-End Developer
Java,C#,,,,,React,Mobile App Developer (Android)
C/C++,,,,,Swift,None,Mobile App Developer (iOS)
C/C++,Kotlin,,,Swift,,React,Mobile App Developer (iOS)
Java,Python,,Kotlin,C#,Swift,React,Mobile App Developer (iOS)
JavaScript,C#,,Java,,,React,Front-End Developer
JavaScript,Python,SQL,,HTML/CSS,,None,Database Administrator
Java,PHP,,,,JavaScript,React,Mobile App Developer (Android)
C#,Swift,PHP,Python,,,None,Mobile App Developer (iOS)
Python,C#,,,,Swift,None,Mobile App Developer (iOS)
JavaScript,PHP,,,,,React,Front-End Developer
Java,HTML/CSS,C/C++,,Kotlin,Python,None,Mobile App Developer (Android)
C#,,,PHP,,,None,Game Developer
JavaScript,PHP,HTML/CSS,Python,SQL,C/C++,None,Database Administrator
C#,C/C++,,PHP,,,None,Game Developer
C/C++,Python,,HTML/CSS,,PHP,None,Game Developer
C#,Kotlin,,JavaScript,,,None,Mobile App Developer (Android)
C#,SQL,HTML/CSS,Python,,,None,Database Administrator
C#,Python,,Swift,PHP,C/C++,None,Mobile App Developer (iOS)
Python,Java,,,,HTML/CSS,None,Cybersecurity Analyst
C/C++,C#,,,,HTML/CSS,None,Game Developer
Python,Swift,,,Java,HTML/CSS,None,Mobile App Developer (iOS)
C/C++,PHP,JavaScript,HTML/CSS,,SQL,None,Database Administrator
Java,Swift,,,PHP,JavaScript,None,Mobile App Developer (iOS)
Java,,,,PHP,,React,Mobile App Developer (Android)
C#,PHP,,,Java,,None,Game Developer
JavaScript,Swift,Kotlin,PHP,Java,,None,Mobile App Developer (iOS)
JavaScript,HTML/CSS,,,C/C++,Java,React,Front-End Developer
Java,C#,HTML/CSS,,PHP,,React,Mobile App Developer (Android)
Java,Kotlin,,HTML/CSS,Swift,,React,Mobile App Developer (iOS)
JavaScript,C#,,,,Kotlin,React,Mobile App Developer (Android)
C/C++,Kotlin,,,,,React,Mobile App Developer (Android)
Python,JavaScript,C#,,Kotlin,,None,Mobile App Developer (Android)
JavaScript,SQL,,,Python,,None,Database Administrator
Java,Kotlin,,HTML/CSS,C/C++,,React,Mobile App Developer (Android)
C/C++,Python,PHP,,,Kotlin,None,Mobile App Developer (Android)
JavaScript,SQL,,Java,Swift,,None,Mobile App Developer (iOS)
Python,C#,,JavaScript,HTML/CSS,SQL,None,Database Administrator
Java,C/C++,,,,Kotlin,None,Mobile App Developer (Android)
Python,C/C++,,JavaScript,SQL,,None,Database Administrator
Python,C#,JavaScript,Swift,,Java,None,Mobile App Developer (iOS)
Java,HTML/CSS,,,,,React,Mobile App Developer (Android)
Python,PHP,C/C++,,C#,,None,Cybersecurity Analyst
C/C++,PHP,SQL,,HTML/CSS,,None,Database Administrator
C/C++,Kotlin,JavaScript,,,,None,Mobile App Developer (Android)
C/C++,Python,,,C#,SQL,None,Database Administrator
Java,Swift,,SQL,,,None,Mobile App Developer (iOS)
Java,PHP,,,,,None,Mobile App Developer (Android)
JavaScript,HTML/CSS,,C#,,,React,Front-End Developer
JavaScript,PHP,,,C/C++,,React,Front-End Developer
JavaScript,HTML/CSS,,Python,,Swift,None,Mobile App Developer (iOS)
C#,C/C++,,HTML/CSS,,PHP,None,Game Developer
C#,JavaScript,Kotlin,PHP,C/C++,,None,Mobile App Developer (Android)
C/C++,Swift,Java,,,PHP,None,Mobile App Developer (iOS)
Java,Python,,,PHP,,None,Mobile App Developer (Android)
C#,Swift,Kotlin,,,,None,Mobile App Developer (iOS)
C/C++,,,Python,Java,Swift,React,Mobile App Developer (iOS)
C/C++,Python,,,,,None,Game Developer
Python,Kotlin,PHP,C#,,,React,Mobile App Developer (Android)
Python,JavaScript,,,,,None,Cybersecurity Analyst
JavaScript,C#,Java,HTML/CSS,,Swift,React,Mobile App Developer (iOS)
C#,SQL,,,PHP,Swift,None,Mobile App Developer (iOS)
JavaScript,,,,,SQL,None,Database Administrator
Python,HTML/CSS,JavaScript,,,,None,Cybersecurity Analyst
C/C++,,Python,,Kotlin,,None,Mobile App Developer (Android)
JavaScript,Python,Java,,,,React,Front-End Developer
C#,Python,,,,,None,Game Developer
C/C++,Java,,HTML/CSS,JavaScript,,None,Game Developer
Python,SQL,,,,,None,Database Administrator
C#,SQL,,Java,C/C++,Swift,None,Mobile App Developer (iOS)
JavaScript,C#,Kotlin,,C/C++,,None,Mobile App Developer (Android)
Java,Swift,,,PHP,SQL,None,Mobile App Developer (iOS)
Java,Swift,,,,,React,Mobile App Developer (iOS)
Python,SQL,Java,,Swift,JavaScript,None,Mobile App Developer (iOS)
Python,JavaScript,,,,,None,Cybersecurity Analyst
JavaScript,HTML/CSS,,Swift,,,React,Mobile App Developer (iOS)
C#,Java,,,,,None,Game Developer
C/C++,,,C#,,,None,Game Developer
Java,SQL,Python,,C#,,None,Mobile App Developer (Android)
C#,HTML/CSS,SQL,,Swift,,None,Mobile App Developer (iOS)
Python,Swift,PHP,,,,None,Mobile App Developer (iOS)
C#,SQL,,,Python,Swift,None,Mobile App Developer (iOS)
Java,Kotlin,,,,HTML/CSS,React,Mobile App Developer (Android)
Python,PHP,,,C/C++,,None,Cybersecurity Analyst
Java,JavaScript,,,SQL,,React,Mobile App Developer (Android)
C#,C/C++,HTML/CSS,,JavaScript,,None,Game Developer
Java,Kotlin,,,JavaScript,,None,Mobile App Developer (Android)
JavaScript,Swift,,,,,None,Mobile App Developer (iOS)
Java,JavaScript,,,,PHP,None,Mobile App Developer (Android)
Java,PHP,,Kotlin,,SQL,None,Mobile App Developer (Android)
Python,Java,,,SQL,JavaScript,None,Database Administrator
C#,SQL,HTML/CSS,,,,None,Database Administrator
C#,Java,Python,,,JavaScript,None,Game Developer
C/C++,PHP,,Swift,,,None,Mobile App Developer (iOS)
Python,,,,C/C++,SQL,None,Database Administrator
C#,PHP,,C/C++,,Kotlin,None,Mobile App Developer (Android)
JavaScript,Java,,Kotlin,PHP,,None,Mobile App Developer (Android)
C#,,,Python,Swift,,React,Mobile App Developer (iOS)
C#,Python,,,,,None,Game Developer
Java,Kotlin,Python,,,,None,Mobile App Developer (Android)
C#,C/C++,,,,JavaScript,None,Game Developer
C/C++,Java,SQL,,,JavaScript,None,Database Administrator
Python,,,C#,Java,JavaScript,None,Cybersecurity Analyst
Python,SQL,,,JavaScript,,None,Database Administrator
Python,Swift,JavaScript,,,HTML/CSS,None,Mobile App Developer (iOS)
Java,C#,,,,,React,Mobile App Developer (Android)
Java,Kotlin,,C/C++,,,None,Mobile App Developer (Android)
C#,,C/C++,,JavaScript,Java,None,Game Developer
Java,HTML/CSS,C/C++,,,,None,Mobile App Developer (Android)
Python,,C#,JavaScript,SQL,Java,None,Database Administrator
Java,HTML/CSS,,,Python,C#,React,Mobile App Developer (Android)
C#,PHP,Python,,HTML/CSS,,None,Game Developer
Java,PHP,C#,,,JavaScript,None,Mobile App Developer (Android)
Java,Python,JavaScript,,HTML/CSS,C#,None,Mobile App Developer (Android)
Java,HTML/CSS,C/C++,,PHP,Kotlin,React,Mobile App Developer (Android)
C/C++,SQL,,,C#,Kotlin,React,Mobile App Developer (Android)
C#,Swift,C/C++,SQL,,PHP,None,Mobile App Developer (iOS)
JavaScript,PHP,,,C/C++,SQL,None,Database Administrator
C/C++,HTML/CSS,,,,Python,None,Game Developer
Python,SQL,,JavaScript,,,None,Database Administrator
C/C++,Python,C#,,SQL,,None,Database Administrator
Java,,,,,,None,Mobile App Developer (Android)
C#,Swift,,SQL,,Python,None,Mobile App Developer (iOS)
Java,PHP,,C/C++,Swift,,React,Mobile App Developer (iOS)
C#,HTML/CSS,,,,,None,Game Developer
C#,PHP,,,,Kotlin,None,Mobile App Developer (Android)
JavaScript,Python,,,PHP,SQL,None,Database Administrator
C/C++,Swift,Java,,HTML/CSS,,None,Mobile App Developer (iOS)
C#,Java,,,,,None,Game Developer
C#,SQL,,,JavaScript,,None,Database Administrator
Python,SQL,,,HTML/CSS,Swift,React,Mobile App Developer (iOS)
C#,JavaScript,,,Swift,Kotlin,React,Mobile App Developer (iOS)
JavaScript,Java,,,,,React,Front-End Developer
C#,PHP,Kotlin,SQL,,,None,Mobile App Developer (Android)
C#,Swift,,JavaScript,Java,,None,Mobile App Developer (iOS)
C/C++,Swift,Kotlin,,,HTML/CSS,None,Mobile App Developer (iOS)
C/C++,PHP,,HTML/CSS,JavaScript,,None,Game Developer
C#,Kotlin,,,,,None,Mobile App Developer (Android)
C/C++,JavaScript,,,HTML/CSS,Java,None,Game Developer
C/C++,C#,,,Java,JavaScript,None,Game Developer
Python,Java,,,,PHP,None,Cybersecurity Analyst
JavaScript,Kotlin,C/C++,Java,,PHP,React,Mobile App Developer (Android)
Java,SQL,,,Python,,React,Mobile App Developer (Android)
C/C++,PHP,Swift,SQL,,,None,Mobile App Developer (iOS)
Python,C/C++,C#,,PHP,Kotlin,React,Mobile App Developer (Android)
Python,Swift,C/C++,,,,React,Mobile App Developer (iOS)
C/C++,SQL,,,PHP,,None,Database Administrator
Java,,,C/C++,,SQL,None,Mobile App Developer (Android)
C#,HTML/CSS,,,,C/C++,None,Game Developer
C/C++,Java,,,,,None,Game Developer
Java,HTML/CSS,,,Python,,React,Mobile App Developer (Android)
Python,C/C++,,,JavaScript,,None,Cybersecurity Analyst
JavaScript,Swift,HTML/CSS,,,,None,Mobile App Developer (iOS)
C#,Swift,,SQL,C/C++,HTML/CSS,None,Mobile App Developer (iOS)
C/C++,Python,,,,Java,None,Game Developer
JavaScript,C#,,,Java,,React,Front-End Developer
Python,PHP,C#,,,Kotlin,None,Mobile App Developer (Android)
JavaScript,SQL,,,Java,,None,Database Administrator
Python,,,,Swift,HTML/CSS,None,Mobile App Developer (iOS)
Java,Swift,Python,,,SQL,None,Mobile App Developer (iOS)
C#,Kotlin,,,,,React,Mobile App Developer (Android)
C/C++,Java,,,Swift,,React,Mobile App Developer (iOS)
C/C++,PHP,,,C#,Python,None,Game Developer
C/C++,Python,Java,,,,None,Game Developer
Java,PHP,Kotlin,C/C++,,SQL,None,Mobile App Developer (Android)
Java,Swift,,,,SQL,None,Mobile App Developer (iOS)
Java,SQL,,HTML/CSS,,PHP,None,Mobile App Developer (Android)
Python,PHP,C#,,,,None,Cybersecurity Analyst
Java,PHP,SQL,,,,None,Mobile App Developer (Android)
Python,JavaScript,,,PHP,C/C++,None,Cybersecurity Analyst
C/C++,Python,PHP,Kotlin,,Java,React,Mobile App Developer (Android)
Python,C/C++,C#,,,JavaScript,None,Cybersecurity Analyst
JavaScript,C#,,C/C++,,PHP,None,Front-End Developer
JavaScript,HTML/CSS,C/C++,Kotlin,,,None,Mobile App Developer (Android)
